S.No.,Region,VMSize,StorageAccount,ARMStorageAccount
1,Japan East,A11,konkacijapaneast1,konkacijapaneastv2
2,East Asia,Standard_D14,konkacieastasia,konkacieastasiav2
3,Australia East,Standard_D5_v2,konkaciaustraliaeast1,konkaciaustraliaeastv2
4,West Europe,Standard_D14_v2,konkaciwesteurope,konkaciwesteuropev2
5,Central US,Standard_D15_v2,konkacicentralus,konkacicentralusv2
6,East US 2,Standard_G4,konkacieastus2,konkacieastus2v2
7,West US,Standard_G5,konkaciwestus1,konkaciwestusv2
8,South India,Standard_F16,konkacisouthindia1,konkacisouthindiav2
